Date,Open,High,Low,Close,Volume,Open Interest
2021/09/24 00:00:00,1743.7,1758,1740.2,1751.7,147736,0
2021/09/23 00:00:00,1769.2,1777.1,1737.5,1749.8,220098,0
2021/09/22 00:00:00,1775,1788.4,1764.6,1778.8,169937,0
2021/09/21 00:00:00,1765.5,1782.8,1758.3,1778.2,139900,0
2021/09/20 00:00:00,1754.2,1768.4,1742.3,1763.8,150573,0
2021/09/17 00:00:00,1754.6,1767.8,1747.1,1751.4,180673,0
2021/09/16 00:00:00,1795.5,1797.3,1745.5,1756.7,243613,0
2021/09/15 00:00:00,1806.6,1808.5,1791.7,1794.8,137513,0
2021/09/14 00:00:00,1794.8,1810.6,1780.6,1807.1,193835,0
2021/09/13 00:00:00,1789.8,1800.2,1784.4,1794.4,110870,0
2021/09/10 00:00:00,1796.2,1806,1788.2,1792.1,134148,0
2021/09/09 00:00:00,1790.9,1803.4,1785.1,1800,152037,0
2021/09/08 00:00:00,1796.1,1804.4,1783.1,1793.5,158104,0
2021/09/07 00:00:00,1833.5,1833.5,1793.7,1798.5,248598,0
2021/09/03 00:00:00,1811.5,1836.9,1810.9,1833.7,181932,0
2021/09/02 00:00:00,1816.2,1819.6,1806.5,1811.5,111099,0
2021/09/01 00:00:00,1816.7,1822.7,1810.6,1816,138802,0
2021/08/31 00:00:00,1812.2,1821.9,1803.4,1818.1,162209,0
2021/08/30 00:00:00,1821.6,1826.5,1810,1812.2,102579,0
2021/08/27 00:00:00,1795.2,1821.9,1785.2,1819.5,198760,0
2021/08/26 00:00:00,1793,1800.4,1781.3,1795.2,131078,0
2021/08/25 00:00:00,1805.1,1805.3,1784,1791,160525,0
2021/08/24 00:00:00,1807.6,1812.2,1802.6,1808.5,112953,0
2021/08/23 00:00:00,1781.2,1809.1,1778,1806.3,150238,0
2021/08/20 00:00:00,1782.8,1791,1780,1784,106495,0
2021/08/19 00:00:00,1789.5,1795,1774.6,1783.1,147534,0
2021/08/18 00:00:00,1787.8,1795.7,1778.8,1784.4,131190,0
2021/08/17 00:00:00,1789.1,1797.6,1782.1,1787.8,142476,0
2021/08/16 00:00:00,1780.9,1791.3,1772,1789.8,133821,0
2021/08/13 00:00:00,1754.4,1781.9,1753,1778.2,140689,0
2021/08/12 00:00:00,1752.9,1759.6,1742.6,1751.8,133990,0
