Date,Open,High,Low,Close,Volume,Dividends
2017/09/01 00:00:00,4689.89,4885.55,4654.88,4834.91,560.666366,0
2017/09/02 00:00:00,4796.16,4939.19,4286.87,4472.14,929.148595,0
2017/09/03 00:00:00,4508.5,4714.76,4298.33,4509.08,691.216198,0
2017/09/04 00:00:00,4505,4527.49,3972.51,4100.11,1394.644614,0
2017/09/05 00:00:00,4106.97,4484.99,3603,4366.47,1228.938157,0
2017/09/06 00:00:00,4366.49,4662.87,4335.26,4619.77,807.363726,0
2017/09/07 00:00:00,4619.77,4788.59,4438.19,4691.61,500.429975,0
2017/09/08 00:00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,0
2017/09/09 00:00:00,4282.8,4426.62,4150.06,4258.81,658.782952,0
2017/09/10 00:00:00,4258.81,4283,3801,4130.37,660.373275,0
2017/09/11 00:00:00,4153.62,4334.43,4098.91,4208.47,699.989065,0
2017/09/12 00:00:00,4208.6,4394.59,4040.8,4163.72,879.630319,0
2017/09/13 00:00:00,4159.72,4165.38,3760,3944.69,913.462545,0
2017/09/14 00:00:00,3944,3993,3165.13,3189.02,1665.021543,0
2017/09/15 00:00:00,3188.01,3856,2817,3700,1968.866492,0
2017/09/16 00:00:00,3674.01,3950,3470.66,3714.95,1297.563953,0
2017/09/17 00:00:00,3685.23,3748.21,3499.02,3699.99,682.17121,0
2017/09/18 00:00:00,3690,4123.2,3690,4035.01,1030.006455,0
2017/09/19 00:00:00,4060,4089.97,3830.91,3910.04,902.332129,0
2017/09/20 00:00:00,3910.04,4046.08,3820,3900,720.935076,0
2017/09/21 00:00:00,3889.99,3910,3567,3609.99,1001.654084,0
2017/09/22 00:00:00,3592.84,3750,3505.55,3595.87,838.966425,0
2017/09/23 00:00:00,3595.88,3817.19,3542.91,3780,752.792791,0
2017/09/24 00:00:00,3779.54,3789.99,3622.76,3660.02,661.63639,0
2017/09/25 00:00:00,3660.02,3979.87,3653.69,3920.75,727.994713,0
2017/09/26 00:00:00,3928,3976.99,3850.05,3882.35,526.727987,0
2017/09/27 00:00:00,3882.36,4249.94,3872.81,4193,628.170966,0
2017/09/28 00:00:00,4192.11,4300,4101,4174.5,849.785325,0
2017/09/29 00:00:00,4178.98,4263.86,3952.01,4174.69,1602.309565,0
2017/09/30 00:00:00,4175,4380,4138.1,4378.51,720.353183,0
2017/10/01 00:00:00,4378.49,4406.52,4240.04,4378.48,726.963685,0
2017/10/02 00:00:00,4400,4561.63,4360,4380,655.756974,0
2017/10/03 00:00:00,4380,4467.33,4180.8,4310,1082.323563,0
2017/10/04 00:00:00,4314.9,4373,4142,4208.59,868.465101,0
2017/10/05 00:00:00,4208.59,4355,4110,4292.43,779.138638,0
2017/10/06 00:00:00,4318.99,4417,4292,4369,506.529176,0
2017/10/07 00:00:00,4369,4479.5,4312.56,4423,297.5975,0
2017/10/08 00:00:00,4425,4658,4425,4640,518.462004,0
2017/10/09 00:00:00,4640,4889.98,4550,4786.95,646.463145,0
2017/10/10 00:00:00,4786.95,4960,4680.59,4783.06,1043.221773,0
2017/10/11 00:00:00,4783.06,4881.61,4710,4821.43,753.429396,0
2017/10/12 00:00:00,4821.43,5439.99,4810.16,5430,1276.701482,0
2017/10/13 00:00:00,5439.99,5846.17,5379.84,5649.98,1879.82762,0
2017/10/14 00:00:00,5650,5900,5580.01,5869.99,970.759046,0
2017/10/15 00:00:00,5855.03,5922.3,5400.01,5709.99,1343.523375,0
2017/10/16 00:00:00,5710,5788.91,5585.19,5760.02,1528.996462,0
2017/10/17 00:00:00,5760,5774.98,5508.63,5595,1429.869376,0
2017/10/18 00:00:00,5595,5596,5037.95,5512.06,2317.804373,0
2017/10/19 00:00:00,5513,5710,5490.26,5683.9,1881.722107,0
2017/10/20 00:00:00,5683.31,6110,5600,6010.01,1972.97722,0
2017/10/21 00:00:00,6013.72,6171,5850.03,6024.97,1664.307693,0
2017/10/22 00:00:00,6003.27,6060,5720.03,5950.02,1362.092216,0
2017/10/23 00:00:00,5975,6080,5621.03,5915.93,1812.557715,0
2017/10/24 00:00:00,5909.47,5925,5450,5477.03,2580.418767,0
2017/10/25 00:00:00,5506.92,5704.96,5286.98,5689.99,2282.813205,0
2017/10/26 00:00:00,5670.1,5939.99,5650,5861.77,1972.965882,0
2017/10/27 00:00:00,5861.77,5980,5649.24,5768.83,1403.706416,0
2017/10/28 00:00:00,5768.79,5850.02,5630.03,5719.64,1276.754412,0
2017/10/29 00:00:00,5709.98,6189.88,5648.01,6169.98,1804.778173,0
2017/10/30 00:00:00,6133.01,6248.68,6030,6120.5,1473.687043,0
2017/10/31 00:00:00,6120.52,6498.01,6100,6463,1511.774925,0
2017/11/01 00:00:00,6463,6774.67,6338.02,6753.98,1675.615188,0
2017/11/02 00:00:00,6753.98,7300,6685.1,7019.98,2503.610803,0
2017/11/03 00:00:00,7010.31,7346.34,6923,7115.04,1891.497592,0
2017/11/04 00:00:00,7115.02,7480.99,6901,7357.09,1399.191767,0
2017/11/05 00:00:00,7357.27,7590.25,7279.02,7345.01,1207.83233,0
2017/11/06 00:00:00,7345.1,7401,6906,6960.12,1763.019261,0
2017/11/07 00:00:00,6981.72,7198.49,6901,7064.04,1440.259494,0
2017/11/08 00:00:00,7070,7770.02,6651,7303,2822.298802,0
2017/11/09 00:00:00,7303.01,7392,7015,7079.99,1913.398308,0
2017/11/10 00:00:00,7079,7279.91,6255.01,6506.98,3254.704105,0
2017/11/11 00:00:00,6503,6797.98,6100,6245.05,2754.156861,0
2017/11/12 00:00:00,6245.05,6630,5325.01,5811.03,4968.483069,0
2017/11/13 00:00:00,5839.94,6697.47,5699.99,6465.99,2621.243039,0
2017/11/14 00:00:00,6465.99,6684.98,6311.07,6574.99,1254.292531,0
2017/11/15 00:00:00,6575.99,7298,6575.99,7240.06,1779.605845,0
2017/11/16 00:00:00,7240.14,7940,7076,7864.5,2331.95675,0
2017/11/17 00:00:00,7876.98,7989,7451,7699.19,3982.395925,0
2017/11/18 00:00:00,7680.01,7819.99,7422,7761.94,3954.266477,0
2017/11/19 00:00:00,7761.94,8123.15,7650.33,8038,3867.340444,0
2017/11/20 00:00:00,8057.11,8319.99,7954,8212,3886.634348,0
2017/11/21 00:00:00,8212.49,8400,7801,8119.51,4544.474016,0
2017/11/22 00:00:00,8091.09,8322.68,8091.09,8205.92,3545.00571,0
2017/11/23 00:00:00,8233.03,8260,8000,8019.99,4093.952687,0
2017/11/24 00:00:00,8019.97,8369,7850,8138,4411.789112,0
2017/11/25 00:00:00,8138.99,8734.78,8090,8700.01,4292.623682,0
2017/11/26 00:00:00,8700.04,9350,8604.72,9128.02,4147.380237,0
2017/11/27 00:00:00,9128,9654.28,9112.04,9650,4521.625707,0
2017/11/28 00:00:00,9650,9939,9570.5,9896.8,4917.210985,0
2017/11/29 00:00:00,9896.79,11300.03,8520,9687.88,13352.53872,0
2017/11/30 00:00:00,9687.88,10900,8850.8,9838.96,9389.574329,0
2017/12/01 00:00:00,9837,10898,9380,10782.99,6134.923633,0
2017/12/02 00:00:00,10775.04,11190,10620,10890.01,4765.439757,0
2017/12/03 00:00:00,10902.69,11825,10500,11165.41,5346.636524,0
2017/12/04 00:00:00,11165.41,11600,10802,11579,4663.424562,0
2017/12/05 00:00:00,11571.03,11853,11447.68,11699.99,5550.732055,0
2017/12/06 00:00:00,11699.99,13615.23,11665.58,13550.05,6707.946319,0
2017/12/07 00:00:00,13541.01,16649.96,13050,16599,7487.065695,0
2017/12/08 00:00:00,16599,17204.99,14015,15880,17589.01314,0
2017/12/09 00:00:00,15880.01,16269.3,12535,14656.07,13918.75869,0
2017/12/10 00:00:00,14664.01,15720.12,12368,14899.98,16553.03717,0
2017/12/11 00:00:00,14946.26,17470,14901.08,16587.97,11820.40176,0
2017/12/12 00:00:00,16587.97,16976.45,15875,16349.99,9436.802411,0
2017/12/13 00:00:00,16349.99,16546,14666.56,16033.29,12416.3288,0
2017/12/14 00:00:00,16030.34,16445,15450,16334.98,11616.86715,0
2017/12/15 00:00:00,16334.98,17991,16298.45,17539.83,9181.273947,0
2017/12/16 00:00:00,17516.81,19539,17190.01,19102.66,4202.628709,0
2017/12/17 00:00:00,19120.19,19798.68,18510,18860.02,9177.183434,0
2017/12/18 00:00:00,18860.04,19300,17029.98,18856.25,10624.63307,0
2017/12/19 00:00:00,18856.25,18950,16300,17295.2,13210.74822,0
2017/12/20 00:00:00,17295.2,17720.35,14777.66,16488.98,13450.49669,0
2017/12/21 00:00:00,16480.52,17309.5,14022,15492.64,20324.2173,0
2017/12/22 00:00:00,15514.03,15699.34,10961,13326.61,36076.27118,0
2017/12/23 00:00:00,13326.61,14950,12978.18,13300,13141.53888,0
2017/12/24 00:00:00,13300,13819.99,11640,13500,28557.53499,0
2017/12/25 00:00:00,13500,14300,12708,13699.34,15748.20761,0
2017/12/26 00:00:00,13699.34,16050,13533,15689.01,15034.6681,0
2017/12/27 00:00:00,15709.98,16498.05,14200.15,15459.99,14959.86472,0
2017/12/28 00:00:00,15459.97,15539.99,13150,14182.11,21717.85801,0
2017/12/29 00:00:00,14199.14,14981,13850,14378.9,18072.00812,0
2017/12/30 00:00:00,14378.99,14398.85,11750,12440.01,19221.15804,0
2017/12/31 00:00:00,12345.1,14050.11,12149.98,13716.36,11768.98972,0
2018/01/01 00:00:00,13715.65,13818.55,12750,13380,8609.915844,0
2018/01/02 00:00:00,13382.16,15473.49,12890.02,14675.11,20078.09211,0
2018/01/03 00:00:00,14690,15307.56,14150,14919.51,15905.66764,0
2018/01/04 00:00:00,14919.51,15280,13918.04,15059.54,21329.64957,0
2018/01/05 00:00:00,15059.56,17176.24,14600,16960.39,23251.49113,0
2018/01/06 00:00:00,16960.39,17143.13,16011.21,17069.79,18571.45751,0
2018/01/07 00:00:00,17069.79,17099.96,15610,16150.03,12493.12556,0
2018/01/08 00:00:00,16218.85,16322.3,12812,14902.54,26600.60991,0
2018/01/09 00:00:00,14902.54,15500,14011.05,14400,14315.00425,0
2018/01/10 00:00:00,14401,14955.66,13131.31,14907.09,17411.00166,0
2018/01/11 00:00:00,14940,14968.68,11400,13238.78,33554.72375,0
2018/01/12 00:00:00,13238.76,14109.78,12500,13740.01,16417.16214,0
2018/01/13 00:00:00,13749.95,14580,13706.15,14210,12221.50853,0
2018/01/14 00:00:00,14210,14339.5,12569.2,13474.99,17017.89433,0
2018/01/15 00:00:00,13477.98,14249.99,13147.79,13539.93,14652.09471,0
2018/01/16 00:00:00,13500,13542.93,9035,10900,63401.16918,0
2018/01/17 00:00:00,10899.99,11680.99,9037.94,10988.79,72331.79665,0
2018/01/18 00:00:00,10972.59,11878.82,10435.33,10961.97,48464.43494,0
2018/01/19 00:00:00,10960,11795,10360,11474.98,34129.37542,0
2018/01/20 00:00:00,11474.98,13099,11412.45,12799.94,28768.85783,0
2018/01/21 00:00:00,12799.8,12799.8,10965,11530,41379.77343,0
2018/01/22 00:00:00,11530,11926.35,9900.24,10760.05,43752.60679,0
2018/01/23 00:00:00,10760.05,11399,9905,10799.18,37473.92255,0
2018/01/24 00:00:00,10799.14,11570.48,10500,11349.99,27158.58776,0
2018/01/25 00:00:00,11349.96,11794.05,10950.21,11175.27,20839.95418,0
2018/01/26 00:00:00,11184.7,11643,10311.15,11089,33056.87196,0
2018/01/27 00:00:00,11089,11650,10842.69,11491,18860.76835,0
2018/01/28 00:00:00,11499.98,12244,11408,11879.95,16887.33952,0
